strategy,n_patients,accuracy,mean_n_tests,mean_cost,mean_burden,pct_stopped
actual_real,300,0.81,2.32,703.3967,5.0967,0.6667
actual_sim,300,0.72,2.1533,597.21,4.59,0.5967
bfs_sim,300,0.6767,2.5033,879.0267,5.75,0.79
ig_sim,300,0.6967,2.51,876.7667,5.7467,0.7867
random_sim,300,0.6467,2.9333,1168.8489,7.22,0.82
