alpha,tau,strategy,n_patients,accuracy,mean_steps,pct_early_stop
0.0,0.1,actual,328,0.5945121951219512,2.350609756097561,0.698170731707317
0.0,0.2,actual,328,0.5945121951219512,2.1189024390243905,0.7225609756097561
0.0,0.3,actual,328,0.5914634146341463,1.923780487804878,0.75
0.0,0.4,actual,328,0.5914634146341463,1.8628048780487805,0.7682926829268293
0.0,0.5,actual,328,0.5914634146341463,1.826219512195122,0.7804878048780488
0.0,0.6,actual,328,0.5914634146341463,1.7469512195121952,0.7926829268292683
0.0,0.7,actual,328,0.5914634146341463,1.6554878048780488,0.8170731707317073
0.0,0.7999999999999999,actual,328,0.600609756097561,1.5914634146341464,0.8384146341463414
0.0,0.8999999999999999,actual,328,0.6036585365853658,1.4664634146341464,0.8689024390243902
0.0,0.9999999999999999,actual,328,0.5762195121951219,1.225609756097561,0.9573170731707317
0.0,1.0999999999999999,actual,328,0.5792682926829268,1.1585365853658536,0.9603658536585366
0.0,1.2,actual,328,0.5762195121951219,1.146341463414634,0.9603658536585366
0.0,1.3,actual,328,0.573170731707317,1.1280487804878048,0.9664634146341463
0.0,1.4,actual,328,0.573170731707317,1.0853658536585367,0.9695121951219512
0.0,1.5,actual,328,0.573170731707317,1.0701219512195121,0.975609756097561
0.0,1.5999999999999999,actual,328,0.5670731707317073,1.048780487804878,0.9847560975609756
0.0,1.7,actual,328,0.5670731707317073,1.045731707317073,0.9878048780487805
0.0,1.8,actual,328,0.5670731707317073,1.0274390243902438,0.9939024390243902
0.0,1.9,actual,328,0.5670731707317073,1.0,1.0
0.0,0.1,random,328,0.6097560975609756,2.527439024390244,0.6859756097560976
0.0,0.2,random,328,0.6067073170731707,2.2347560975609757,0.7103658536585366
0.0,0.3,random,328,0.6067073170731707,2.076219512195122,0.7408536585365854
0.0,0.4,random,328,0.6097560975609756,2.027439024390244,0.7621951219512195
0.0,0.5,random,328,0.6128048780487805,1.9634146341463414,0.7804878048780488
0.0,0.6,random,328,0.6128048780487805,1.8689024390243902,0.7926829268292683
