condition,cs_tercile,n_patients,exact_match_rate,has_commission_rate,has_omission_rate,has_order_swap_rate,mean_llm_length,mean_actual_length,mean_n_commission,mean_n_omission
llm_features_only,high,101,0.099,0.505,0.554,0.02,2.6,3.2,0.58,0.61
llm_features_only,low,101,0.059,0.554,0.644,0.069,2.92,3.27,0.62,0.88
llm_features_only,mid,98,0.143,0.48,0.561,0.031,2.72,3.28,0.54,0.62
llm_full,high,101,0.208,0.337,0.465,0.04,2.73,3.2,0.4,0.55
llm_full,low,101,0.079,0.515,0.475,0.119,2.64,3.27,0.61,0.59
llm_full,mid,98,0.143,0.439,0.337,0.041,2.44,3.28,0.55,0.38
rubric_only,high,101,0.168,0.446,0.396,0.04,2.5,3.2,0.52,0.46
rubric_only,low,101,0.03,0.772,0.188,0.02,1.83,3.27,1.04,0.22
rubric_only,mid,98,0.051,0.602,0.296,0.031,2.18,3.28,0.79,0.36
