feature,coef,abs_coef
WBC_gt_18k,2.4533692724196703,2.4533692724196703
BUN_gt_25,1.4955433085815197,1.4955433085815197
creatinine_elevated,-1.3909674136867287,1.3909674136867287
anorexia,1.297400357019429,1.297400357019429
bowel_habit_change,1.2564157711250286,1.2564157711250286
alcohol_history,1.0421591657240903,1.0421591657240903
age_gt_60,0.8837594763073249,0.8837594763073249
WBC_gt_10k,0.5055617218187228,0.5055617218187228
RUQ_tenderness,-0.10956061426764077,0.10956061426764077
LFTs_elevated,0.07087645274191569,0.07087645274191569
