disease,n,commission_rate,commission_n,omission_rate,omission_n,order_swap_rate,order_swap_n
appendicitis,71,0.4507042253521127,32,0.30985915492957744,22,0.07042253521126761,5
cholecystitis,93,0.6666666666666666,62,0.3118279569892473,29,0.010752688172043012,1
diverticulitis,35,0.5428571428571428,19,0.0,0,0.0,0
pancreatitis,101,0.6831683168316832,69,0.36633663366336633,37,0.0297029702970297,3
